Accession Number,Additional Notes,Alternate Term(s),Alternate Title,Artist,Brief Bio,Category,Class,Classification,Collected By,Collection Method,Collector Number,Common Name,Conservation,Creator,Credit Line,Cultural Region,Culture,Culture/Nationality,Date Collected,Date Made,Date Recorded,Definition,Description,Determined By,Diet Info,Division,Edition Number,Elevation,Family,Formation,Gender and Age,Genre/Form,Genus,Geologic Age,Habitat,Identification,Index/Track No.,Inscriptions and Colophons,Instrument,Kingdom,Lead Collector(s),Life History,Location,Materials,Materials Glossary,Materials and Techniques,Measurements,Microhabitat,Name,Nationality,Object Type,Order,Other Collector(s),Performer,Period,Phylum,Place Collected,Place Collected Details,Place Made,Place Recorded,Preparation Type,Preparation(s),Range,Recording Equipment,Scientific Name,Scientific Name Authority,Seasonality,Species,Specimen Name,Subclass,Suborder,Subspecies,Subspecies Authority,Superfamily,Term,Title,Type,Variety,Variety Authority,Website,image_url,url
2005.5.582,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1821-1850,,,"Qing Period (1644-1911), Seventh Rank Civil Official (Mandarin Duck)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,,,,,,,,,,,,,,,,,,,,silk; silk floss; silk satin; gold braid; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 30.7 cm x 33.4 cm,,,,rank badge,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Front Panel of a Rank Badge for a Seventh Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_582_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19804
2005.5.143.2,,,,unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk; silk brocade; silk satin; gold wrapped silk thread; cotton,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 106.4 cm x 109.8 cm,,,,document cover,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Imperial Yellow Silk Brocade Document Cover,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_143_002_re_s21-03v01.jpg,https://search.museums.ualberta.ca/21-20818
2005.5.632.2,,,,unknown,,containers,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk; silk cord; lacquer; glass,,,overall: 17 cm x 8.5 cm x 3 cm,,,,case,,,,Qing 18th-19th centuries,,,,China,,,,,,,,,,,,,,,,,Spectacles Case,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_632_002_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-21057
2005.5.88,,,,unknown,,costume accessories,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk satin; silk floss; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,,,,,fan case,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Set of Nine Embroidered Silk Fan Cases,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_088_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19310
UADBG-B-16956,,,,,,,,,,,24472,,,,,,,,1997-06-07,,,,,Tong Chao,,,,1640 m,,,,,,,"Forested cliff (medium sized) in Picea-Abies-Betula dark conifer forest, about 430 years old with 80% canopy light, about 5% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on partly shaded moist rock,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, opposite Chinese plot 3",,,,,,,Marsupella commutata,(Limpr.) Bernet,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178622
2005.5.66,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk; silk brocade; silk floss; silk satin; embroidery,"Brocade; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,overall: 60.9 cm x 33.5 cm,,,,panel,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Pair of Embroidered Silk Sleeve Bands Mounted as a Panel,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_066_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19288
2009.15.8,,,,"Huang, Zhong-Yang",,,,,,,,,,,Transfer from the Faculty of Law,,,Chinese; Canadian,,2004,,,,,,,,,,,,,,,,,,,,,,,,oil on canvas,,,overall: 90.2 cm x 75.2 cm x 4.7 cm; sight: 74.6 cm x 59.5 cm,,,,painting,,,,,,,,,,,,,,,,,,,,,,,,,Portrait of Tevi Miller,,,,,,https://search.museums.ualberta.ca/11-22877
UADBG-B-17262,,,,,,,,,,,24794,,,,,,,,1997-06-09,,,,,Tong Chao,,,,1340 m,,,,,,,"Closed crown coniferous forest, Pinus dominated Picea-Abies-Larix dark conifer forest, about 255 years old with 95% canopy light, about 7% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on Pine bark,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; along road up to Mount Changbai summit, Chinese plot 2",,,,,,,Orthodicranum montanum,(Hedw.) Loeske,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178877
UADBG-B-16852,,,,,,,,,,,24365,,,,,,,,1997-07-07,,,,,Tong Chao,,,,1620 m,,,,,,,"Forested cliff (large sized) in Picea-Abies-Larix dark conifer forest, about 255 years old with 60% canopy light",,,,,,René J. Belland,,,,,,,,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, west side of road to Chinese plot 3",,,,,,,Marchantia polymorpha,L.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-179821
2006.14.3.c,,,,,,"Clothing, Headwear",,,,,,,,"Feng, You Wen, Mrs.",Donated by Ruth Lor Malloy,Chinese; Hezhe,Chinese; Hezhe,,,2005,,,Pieced salmon skin hat made with two rounded peaks on top of the head; 2 decorative S-shaped pieces of skin in contrasting shade applied to front of cap.,,,,,,,,girls,,,,,,,,,,,,,,,,28 x 31 cm,,,,hat,,,,,,,,"Asia: China, Heilongjiang Sheng",,,,,,,,,,,,,,,,,salmon skin hat,,,,,,https://search.museums.ualberta.ca/13-174508
UADBG-B-16833,,,,,,,,,,,24345,,,,,,,,1997-07-07,,,,,Tong Chao,,,,1620 m,,,,,,,"Closed crown coniferous forest, Picea-Abies-Larix dark conifer forest, about 255 years old with 60% canopy light and lots of moss",,,,,,René J. Belland,,,,,,,on snag,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, west side of road to Chinese plot 3",,,,,,,Pseudoleskeella tectorum,(Funck ex Brid.) Kindb. ex Broth.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-179803
CCE1998.2.14-16,,,,,,compact disk: commercial recording,,,,,,,,,Donated by Dr. Regula B. Qureshi,,"North American, Canadian, Chinese",,,,1997,,He Lu Ting.,,,,,,,,,Chinese Classical,,,,,16,,erhu,,,,,,,,,,,,,,,"Qiang, Lei",,,,,,Xian,,,,,,,,,,,,,,,,The Faraway Voice,,,,,,https://search.museums.ualberta.ca/31-65137
2005.5.238.2,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1573-1619,,,"Embroidered silk roundel with dragon design, attached to a fabric-covered backing board. The dragon is mainly green, and is surrounded by clouds, flames, and waves. The dragon is in an active position with all five claws extended. This roundel is part of a pair that would have been cut from a dragon robe made during the Ming Dynasty (1368-1644).",,,,,,,,,,,,,,,,,,,,,cotton; gold wrapped silk thread; silk floss; plywood; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 38.5 cm x 39.9 cm x 1.3 cm,,,,roundel,,,,Ming 16th-17th centuries,,,,China,,,,,,,,,,,,,,,,,Embroidered Silk Dragon Roundel from a Robe,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_238_002_re_s19-12v01.jpg,https://search.museums.ualberta.ca/21-20887
2004.19.68.1.4,,,,unknown,,prints,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1767-1774,,,A printed calligraphic piece with sections missing.,,,,,,,,,,,,,,,,,,,,,ink; silk; paper,,,overall: 63.2 cm x 112.7 cm; image: 53.9 cm x 92.3 cm,,,,print,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Print from the Qianlong Emperor’s Conquests,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_068_001_004_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19872
1995.15.22,,,,,,"Clothing, Headwear",,,,,,,,,Donated by Ann Dea,East Asian,East Asian,,,1920s-1930s,,,"Piece of a headband, navy blue satin, Chinese knot embroidery, simple design of a horned animal and a flower; lined with blue fabric.",,,,,,,,,,,,,,,,,,,,,,,"satin; embroidered, chain, Chinese knot",overall: 27.5 x 5.5 cm,,,,headband,,,,,,,,Asia: China,,,,,,,,,,,,,,,,,embroidered fragment of Chinese headband,,,,,,https://search.museums.ualberta.ca/13-44401
UADBG-B-16849,,,,,,,,,,,24362,,,,,,,,1997-07-07,,,,,Tong Chao,,,,1620 m,,,,,,,"Forested cliff (large sized) in Picea-Abies-Larix dark conifer forest, about 255 years old with 60% canopy light",,,,,,René J. Belland,,,,,,,on shaded moist humus,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, west side of road to Chinese plot 3",,,,,,,Tritomaria exsecta,(Schmidel ex Schrad.) Schiffn. ex Loeske,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-179818
2004.19.68.1.24,,,"[L'Empereur se rend] dans la banlieuepour prendre [personellement] des nouvelles des officiers et des soldats qui sont distingués dans la campagne contre les tribus musulmanes; The Emperor Goes to the Suburb to…												

													[L'Empereur se rend] dans la banlieuepour prendre [personellement] des nouvelles des officiers et des soldats qui sont distingués dans la campagne contre les tribus musulmanes; The Emperor Goes to the Suburb to Welcome Back the Victorious Troops after the Conquest of the Muslim Tribes; The Emperor in the Suburbs Personally Received News of the Officers and Soldiers Distinguished in the Campaign against the Muslim Tribes												
Read More +","after Damasceno, Giovanni",,prints,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1767-1774,,,"A print of a military regiment participating in a victory banquet from the Qianlong Emperor in a mountainous landscape. There are numerous temporary and permanent structures, including a brick platform with dragon banners, ready to receive the emperor, who is mounted on a horse. It is number 15, chronologically, in the set of 16 copperplate engravings. This engraving goes along with 2004.19.68.1.9., which is the text describing the scene.",,,,,,,,,,,,,,,,,,,,,ink on paper; etching; engraving,,,overall: 63.2 cm x 112.4 cm; image: 54.1 cm x 92.9 cm,,,,print,,,,Qing 18th century,,,,France,,,,,,,,,,,,,,,,,The Emperor Giving a Victory Banquet for Muslim Officers and Soldiers,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_068_001_024_d01_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19896
2005.5.171,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,yellow silk gauze embroidered with silk and metal-wrapped threads,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 34.4 cm x 68.1 cm; neck to hem: 34.4 cm; cuff to cuff: x 68.1 cm,,,,robe,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Yellow Silk Dragon Robe for an Image or Shrine,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_171_op_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19393
2005.5.351,,,,unknown,,costume accessories,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,brass; silk; jadeite,,,overall: 48 cm,,,,necklace,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Carved Jadite Necklace,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_351_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19573
2005.5.592.1,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1862-1874,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a leopard rendered in tapestry weave with details painted with ink, representing a third rank military official. The leopard is identified by its spots, which look like geometric marks throughout its body, and green eyebrows, which are typical in the late Qing dynasty. The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. The leopard is positioned in the center of the badge, surrounded by clouds, small white flowers, bats, and other auspicious symbols. Select details are highlighted with metal-wrapped threads, including the standing water waves below the leopard. The position of the sun on the right side of the badge indicates that the wearer was a woman, likely the spouse of a military official. The border features show characters and bats, which are symbols of luck.",,,,,,,,,,,,,,,,,,,,,silk and metal-wrapped thread tapestry weave with ink,,,,,,,rank badge,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Front Panel of a Rank Badge for a Third Rank Military Official,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_592_001_ve_s23-03v01.jpg,https://search.museums.ualberta.ca/21-20692
2022.7.5,,,,unknown,,textiles,,,,,,,,,Purchased by University of Alberta Museums,,Chinese,,,1875 - 1908,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This pair of rank badges features a panther, symbolizing a sixth rank military official. The panther is raising its head toward a sun disk in the upper right corner and surrounded by ruyi-shaped clouds.",,,,,,,,,,,,,,,,,,,,,Polychrome silk floss and metal-wrapped thread embroidery on silk satin,,,Front: 30.8 x 30.5; Back: 30.2 x 33.0,,,,rank badge,,,,,,,,China,,,,,,,,,,,,,,,,,Front and Back Panels of a Rank Badge for a Sixth Rank Military Official,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2022/2022_007_005_002_re_s23-03v01.jpg,https://search.museums.ualberta.ca/21-27264
2005.5.566.1,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1875-1908,,,"Qing Period (1644-1911), Fourth Rank Civil Official (Wild Goose)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk; silk floss; silk gauze; silver wrapped silk thread; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,,,,,rank badge,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Front Panel of a Rank Badge for a Fourth Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_566_001_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-20728
2005.5.596.2,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1821-1850,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This rank badge features a tiger, symbolizing a fourth rank military official. The tiger is crouching on a rock and surrounded by ruyi-shaped clouds. The pattern on the badge is embroidered with fine seed stitches. The border is adorned with bats and shou characters (symbolizing longevity).",,,,,,,,,,,,,,,,,,,,,silk; silk floss; silk satin; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 31.4 cm x 31.4 cm,,,,rank badge,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Back Panel of a Rank Badge for a Fourth Rank Military Official,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_596_002_ve_s23-03v01.jpg,https://search.museums.ualberta.ca/21-20757
2005.5.236,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,late 17th century - early 18th century,,,"A brown silk satin fragment with an embroidered five-clawed dragon design. Tiny pearls adorn various parts of the design, including the dragon, waves, and mountains. Delicately couched plied silk cords further define the long, sinuous body of the dragon, the clouds, and flames of the dragon. At the center of the dragon's core is a flaming pearl, which is a symbol for wisdom, power, and energy.",,,,,,,,,,,,,,,,,,,,,silk satin embroidered with silk and seed pearls,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 38.5 cm x 33 cm,,,,fragment,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Embroidered Brown Silk Fragment with Seed Pearls,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_236_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19458
1993.24.1.b,,,,,,"Clothing, Footwear",,,,,,,,,Purchased from Dr. Sandra Niessen,East Asian,East Asian,,,,,,"Pale green ground with embroidered dragon in  purple with orange. Black ribbon edging on vamp in V-shape form. Extreme point toe front. Leather patches at heel and toe nailed on soles, covered with a brown printed fabric. Lined with light blue silk.",,,,,,,,women,,,,,,,,,,,,,,,silk; cotton; leather; metal,overall: 8 x 5.5 cm,,,,slipper,,,,,,,,Asia: China,,,,,,,,,,,,,,,,,one of a pair of Chinese lotus shoes,,,,,,https://search.museums.ualberta.ca/13-43198
2005.5.498,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk brocade; silk; silk cut velvet,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 61 cm x 50.5 cm,,,,chair cover,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Silk Velvet Chair Cover,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_498_re_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19720
2005.5.77,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1900,,,,,,,,,,,,,,,,,,,,,,,,blue silk damask edged with black and metal-wrapped thread brocaded facings,"Brocade; Damask											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,overall: 136 cm x 108 cm; neck to hem: 136 cm,,,,vest,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Blue Damask Silk Vest for a Woman,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_077_op_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19299
2004.19.58.6,,,Buddha's Hand Citron and Melon,Chen Zhuan,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1722,,,A painting of Buddha's hand citron and melon,,,,,,,,,,,,,,,"One column of calligraphy in black ink located just left of the image, with a red square seal.",,,,,,ink; paper,,,sheet: 30 cm x 38.4 cm; image: 24.9 cm x 31.1 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,"Album Leaf from Flowers, Fruits, and Fish",,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_058_006_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19928
2005.5.255,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,brown silk damask with black silk embroidered edgings,"Damask; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,overall: 141 cm x 120 cm,,,,robe,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Brown Silk Damask Informal Robe for a Woman,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_255_d01_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19477
2004.19.67,,,,unknown,,paintings,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,"A hanging scroll painting of a seated woman playing a flute, painted in the style of Gu Jianlong.",,,,,,,,,,,,,,,Inscribed with the signature of Gu Jianlong.,,,,,,ink and colour on silk,,,sheet: 154.9 cm x 55.8 cm; image: 84.7 cm x 44.5 cm,,,,hanging scroll,,,,Qing 18th-19th centuries,,,,China,,,,,,,,,,,,,,,,,Beautiful Lady,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_067_s22-02v01.jpg,https://search.museums.ualberta.ca/21-19132
2010.20.1.6.4,,,,Gao Jin,,published works,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1771,,,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volume 34, Chapter 87-88. Yuewu [Mustering troops]. Woodblock printed, thread binding.",,,,,,,,,,,,,,,,,,,,,"printed woodblock, thread binding",,,overall: 29.8 cm x 20.5 cm,,,,book,,,,,,,,China: Beijing,,,,,,,,,,,,,,,,,"Magnificent Record of the Southern Tours, volume 34, chapters 87-88",,,,,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_006_004_s20-02v01.jpg,https://search.museums.ualberta.ca/21-23712
2005.5.403.2,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1930,,,,,,,,,,,,,,,,,,,,,,,,metallic thread; silk; silk thread; metal discs; mirrors,,,,,,,headpiece,,,,Modern 20th century,,,,China,,,,,,,,,,,,,,,,,Two Piece Actor's Headpiece,,,,,,https://search.museums.ualberta.ca/21-20975
2005.5.320,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1900-1910,,,,,,,,,,,,,,,,,,,,,,,,purple silk gauze brocaded with silk,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 140 cm x 199 cm; neck to hem: 140 cm; cuff to cuff: x 199 cm,,,,robe,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Purple Brocade Silk Gauze Dragon Robe for a Man,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_320_op_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19542
2005.5.551,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1875-1908,,,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk; silk brocade; silk floss; embroidery,"Brocade; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,,,,,rank badge,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Front and Back Panels of a Rank Badge for a Fifth Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_551_002_re_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19773
2005.5.24.2,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk brocade,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 14.2 cm x 67.3 cm,,,,yardage,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Length of Green Silk Brocade Yardage,,,,,https://media.museums.ualberta.ca/UAAC/full/2005/05_005_024_002s01v01.jpg,https://search.museums.ualberta.ca/21-21034
2010.20.1.2,,,,Gao Jin,,published works,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1771,,,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volumes 7-12 Chapter 16-31. Woodblock printed, thread binding.",,,,,,,,,,,,,,,,,,,,,"printed woodblock, thread binding",,,overall: 29.8 cm x 20.5 cm x 6.5 cm,,,,book,,,,,,,,China: Beijing,,,,,,,,,,,,,,,,,"Magnificent Record of the Southern Tours, volumes 7-12, chapters 16-31",,,,,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_002_d02_s20-02v01.jpg,https://search.museums.ualberta.ca/21-23669
2005.5.391,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1662-1722,,,,,,,,,,,,,,,,,,,,,,,,silk tapestry weave with ink details,"Tapestry Weave											
											 
												
												
													
														View Materials Glossary Details »",,,,,,panel,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Two Framed Silk Tapestry Weave Panels,,,,,,https://search.museums.ualberta.ca/21-19613
UADBG-B-17259,,,,,,,,,,,24791,,,,,,,,1997-06-09,,,,,Tong Chao,,,,1340 m,,,,,,,"Closed crown coniferous forest, Pinus dominated Picea-Abies-Larix dark conifer forest, about 255 years old with 95% canopy light, about 7% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on base of Pine,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; along road up to Mount Changbai summit, Chinese plot 2",,,,,,,Radula complanata,(Linn.) Dumortier,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178874
2005.5.257,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,green silk satin embroidered with silk threads,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 138 cm x 135 cm,,,,robe,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Green Silk Informal Robe for a Woman,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_257_d01_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19479
2005.5.64,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk; silk brocade; silk damask; silk floss; silk satin; embroidery,"Brocade; Damask; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »
View Materials Glossary Details »",,overall: 68.5 cm x 32.7 cm,,,,panel,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Pair of Embroidered Silk Sleeve Bands Mounted as a Panel,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_064_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19286
